"Benchmark","Mode","Threads","Samples","Score","Score Error (99.9%)","Unit","Param: randomSourceName","Param: theta"
"org.apache.commons.rng.sampling.distribution.GammaSamplersPerformance.runSmallThetaSingleUse_WrapperAhrensDieterMarsagliaTsangGammaSampler","avgt",1,20,16647.612425,138.690965,"us/op",SPLIT_MIX_64,0.51
"org.apache.commons.rng.sampling.distribution.GammaSamplersPerformance.runSmallThetaSingleUse_WrapperAhrensDieterMarsagliaTsangGammaSampler","avgt",1,20,16598.210246,119.389987,"us/op",SPLIT_MIX_64,0.9876
"org.apache.commons.rng.sampling.distribution.GammaSamplersPerformance.runSmallThetaSingleUse_WrapperAhrensDieterMarsagliaTsangGammaSampler","avgt",1,20,14815.840613,85.247409,"us/op",KISS,0.123
"org.apache.commons.rng.sampling.distribution.GammaSamplersPerformance.runSmallThetaSingleUse_WrapperAhrensDieterMarsagliaTsangGammaSampler","avgt",1,20,17790.763470,137.926942,"us/op",KISS,0.51
"org.apache.commons.rng.sampling.distribution.GammaSamplersPerformance.runSmallThetaSingleUse_WrapperAhrensDieterMarsagliaTsangGammaSampler","avgt",1,20,17802.411233,70.380245,"us/op",KISS,0.9876
"org.apache.commons.rng.sampling.distribution.GammaSamplersPerformance.runSmallThetaSingleUse_WrapperAhrensDieterMarsagliaTsangGammaSampler","avgt",1,20,15956.989135,246.401125,"us/op",WELL_1024_A,0.123
"org.apache.commons.rng.sampling.distribution.GammaSamplersPerformance.runSmallThetaSingleUse_WrapperAhrensDieterMarsagliaTsangGammaSampler","avgt",1,20,19108.176957,155.291645,"us/op",WELL_1024_A,0.51
"org.apache.commons.rng.sampling.distribution.GammaSamplersPerformance.runSmallThetaSingleUse_WrapperAhrensDieterMarsagliaTsangGammaSampler","avgt",1,20,19347.949321,115.592660,"us/op",WELL_1024_A,0.9876
"org.apache.commons.rng.sampling.distribution.GammaSamplersPerformance.runSmallThetaSingleUse_WrapperAhrensDieterMarsagliaTsangGammaSampler","avgt",1,20,16876.087421,196.479052,"us/op",WELL_44497_B,0.123
"org.apache.commons.rng.sampling.distribution.GammaSamplersPerformance.runSmallThetaSingleUse_WrapperAhrensDieterMarsagliaTsangGammaSampler","avgt",1,20,20233.058026,113.823446,"us/op",WELL_44497_B,0.51
"org.apache.commons.rng.sampling.distribution.GammaSamplersPerformance.runSmallThetaSingleUse_WrapperAhrensDieterMarsagliaTsangGammaSampler","avgt",1,20,20622.088409,151.355722,"us/op",WELL_44497_B,0.9876
